Freq_Hz,T_meas_gate_abs,T_fit_abs
19098522768.8927,0.934011570524842,0.798149
19109266267.855,0.931693581299981,0.798552
19120009766.8172,0.929295153128064,0.7989663
19130753265.7795,0.926822431629745,0.799392
19141496764.7418,0.924281653316382,0.799829
19152240263.7041,0.921679128904161,0.8002769
19162983762.6663,0.919021226540972,0.8007361
19173727261.6286,0.916314355042649,0.8012063
19184470760.5909,0.913564947232175,0.8016871
19195214259.5532,0.910779443471452,0.8021791
19205957758.5154,0.907964275470465,0.8026816
19216701257.4777,0.905125850453177,0.8031949
19227444756.44,0.902270535753409,0.8037189
19238188255.4023,0.899404643907411,0.8042533
19248931754.3645,0.896534418302876,0.804798
19259675253.3268,0.893666019437019,0.805353
19270418752.2891,0.89080551182901,0.8059183
19281162251.2514,0.887958851624723,0.8064936
19291905750.2136,0.885131874924497,0.8070791
19302649249.1759,0.882330286857489,0.8076742
19313392748.1382,0.879559651419338,0.8082793
19324136247.1005,0.876825382083268,0.808894
19334879746.0628,0.874132733188604,0.8095183
19345623245.025,0.871486792104859,0.8101518
19356366743.9873,0.868892472164236,0.8107951
19367110242.9496,0.866354506350563,0.8114474
19377853741.9119,0.863877441728323,0.8121089
19388597240.8741,0.861465634591623,0.8127791
19399340739.8364,0.859123246309615,0.8134583
19410084238.7987,0.856854239842104,0.8141462
19420827737.761,0.854662376896722,0.8148425
19431571236.7232,0.852551215697231,0.8155477
19442314735.6855,0.850524109331104,0.8162609
19453058234.6478,0.848584204643594,0.8169822
19463801733.6101,0.846734441644877,0.8177114
19474545232.5723,0.8449775533967,0.8184487
19485288731.5346,0.843316066345027,0.8191937
19496032230.4969,0.841752301065619,0.8199466
19506775729.4592,0.840288373390155,0.8207064
19517519228.4214,0.838926195881367,0.8214736
19528262727.3837,0.837667479626807,0.8222479
19539006226.346,0.836513736322085,0.823029
19549749725.3083,0.835466280615818,0.8238171
19560493224.2705,0.834526232690047,0.8246117
19571236723.2328,0.833694521051452,0.8254127
19581980222.1951,0.832971885510318,0.8262199
19592723721.1574,0.832358880325909,0.8270331
19603467220.1196,0.831855877498578,0.8278522
19614210719.0819,0.831463070190638,0.8286769
19624954218.0442,0.831180476259681,0.8295072
19635697717.0065,0.831007941889693,0.830343
19646441215.9687,0.830945145306871,0.8311836
19657184714.931,0.83099160056865,0.8320291
19667928213.8933,0.831146661415852,0.8328794
