Freq_Hz,T_meas_gate_abs,T_fit_abs
19098522768.8927,0.328675493491624,0.702768
19109266267.855,0.327905500061939,0.7029315
19120009766.8172,0.327115693054644,0.7030939
19130753265.7795,0.326307338175453,0.7032556
19141496764.7418,0.325481730649616,0.7034163
19152240263.7041,0.324640191111675,0.7035758
19162983762.6663,0.323784061443124,0.7037346
19173727261.6286,0.322914700585335,0.703892
19184470760.5909,0.322033480354385,0.7040485
19195214259.5532,0.321141781283483,0.7042038
19205957758.5154,0.320240988517481,0.704358
19216701257.4777,0.31933248778256,0.704511
19227444756.44,0.318417661452546,0.7046627
19238188255.4023,0.317497884731614,0.7048133
19248931754.3645,0.316574521971222,0.7049626
19259675253.3268,0.315648923137204,0.7051105
19270418752.2891,0.314722420440891,0.7052572
19281162251.2514,0.31379632514614,0.7054024
19291905750.2136,0.312871924562064,0.7055464
19302649249.1759,0.311950479229271,0.7056888
19313392748.1382,0.311033220305465,0.70583
19324136247.1005,0.310121347154337,0.7059695
19334879746.0628,0.309216025139913,0.7061076
19345623245.025,0.30831838362683,0.7062442
19356366743.9873,0.307429514185401,0.7063792
19367110242.9496,0.306550468998939,0.7065127
19377853741.9119,0.305682259469457,0.7066444
19388597240.8741,0.304825855016715,0.7067747
19399340739.8364,0.303982182064546,0.7069031
19410084238.7987,0.30315212320752,0.70703
19420827737.761,0.302336516550234,0.7071552
19431571236.7232,0.30153615521094,0.7072785
19442314735.6855,0.3007517869807,0.7074001
19453058234.6478,0.299984114128941,0.7075198
19463801733.6101,0.299233793346017,0.7076379
19474545232.5723,0.298501435813247,0.707754
19485288731.5346,0.297787607390888,0.7078682
19496032230.4969,0.297092828914537,0.7079806
19506775729.4592,0.296417576590599,0.708091
19517519228.4214,0.295762282481664,0.7081995
19528262727.3837,0.295127335072912,0.7083058
19539006226.346,0.294513079910977,0.7084102
19549749725.3083,0.293919820307078,0.7085127
19560493224.2705,0.293347818096631,0.7086131
19571236723.2328,0.292797294447976,0.7087114
19581980222.1951,0.292268430713324,0.7088077
19592723721.1574,0.291761369315494,0.7089018
19603467220.1196,0.291276214664484,0.7089937
19614210719.0819,0.290813034098411,0.7090833
19624954218.0442,0.290371858843833,0.7091709
19635697717.0065,0.289952684990952,0.7092562
19646441215.9687,0.289555474479639,0.7093392
19657184714.931,0.289180156092716,0.70942
19667928213.8933,0.288826626453326,0.7094985
19678671712.8556,0.288494751023685,0.7095748
19689415211.8178,0.288184365102859,0.7096485
19700158710.7801,0.287895274821655,0.70972
19710902209.7424,0.287627258133,0.7097892
19721645708.7047,0.287380065796566,0.7098558
19732389207.667,0.287153422356685,0.7099202
19743132706.6292,0.286947027112875,0.709982
19753876205.5915,0.286760555082565,0.7100414
19764619704.5538,0.28659365795584,0.7100983
19775363203.5161,0.286445965042215,0.7101527
19786106702.4783,0.28631708420966,0.7102045
19796850201.4406,0.286206602816207,0.7102539
19807593700.4029,0.286114088634657,0.7103005
19818337199.3652,0.28603909077098,0.7103447
19829080698.3274,0.285981140577086,0.7103864
19839824197.2897,0.285939752558741,0.7104253
19850567696.252,0.285914425279412,0.7104617
19861311195.2143,0.285904642260879,0.7104954
19872054694.1765,0.285909872881437,0.7105263
19882798193.1388,0.28592957327252,0.7105547
19893541692.1011,0.285963187214538,0.7105803
19904285191.0634,0.286010147032689,0.7106034
19915028690.0256,0.286069874493423,0.7106236
19925772188.9879,0.286141781702222,0.710641
19936515687.9502,0.286225272003211,0.7106557
19947259186.9125,0.28631974088107,0.7106676
19958002685.8747,0.286424576865607,0.7106767
19968746184.837,0.286539162439222,0.7106831
19979489683.7993,0.286662874947404,0.7106866
19990233182.7616,0.286795087512258,0.7106873
20000976681.7238,0.286935169948939,0.7106851
20011720180.6861,0.28708248968474,0.7106801
20022463679.6484,0.287236412680445,0.7106723
20033207178.6107,0.287396304353423,0.7106614
20043950677.5729,0.2875615305018,0.7106478
20054694176.5352,0.287731458228911,0.7106313
20065437675.4975,0.287905456867116,0.7106119
20076181174.4598,0.288082898899905,0.7105895
20086924673.4221,0.28826316088111,0.7105641
20097668172.3843,0.288445624349927,0.7105359
20108411671.3466,0.28862967674032,0.7105048
20119155170.3089,0.288814712283267,0.7104707
20129898669.2712,0.289000132900233,0.7104336
20140642168.2334,0.289185349086134,0.7103934
20151385667.1957,0.28936978078,0.7103504
20162129166.158,0.289552858221438,0.7103043
20172872665.1203,0.289734022790974,0.7102553
20183616164.0825,0.289912727832283,0.7102033
20194359663.0448,0.29008843945426,0.7101483
20205103162.0071,0.290260637310907,0.7100902
20215846660.9694,0.290428815356943,0.7100292
20226590159.9316,0.290592482577097,0.7099651
20237333658.8939,0.29075116368701,0.7098981
20248077157.8562,0.290904399803734,0.7098279
20258820656.8185,0.291051749083846,0.7097548
20269564155.7807,0.291192787327248,0.7096786
20280307654.743,0.291327108544786,0.7095994
20291051153.7053,0.291454325487919,0.7095171
20301794652.6676,0.291574070138752,0.7094319
20312538151.6298,0.291685994158847,0.7093437
20323281650.5921,0.291789769295366,0.7092522
20334025149.5544,0.291885087743194,0.7091578
20344768648.5167,0.291971662461879,0.7090604
20355512147.4789,0.29204922744632,0.7089599
20366255646.4412,0.292117537950335,0.7088565
20376999145.4035,0.292176370662387,0.70875
20387742644.3658,0.292225523832917,0.7086403
20398486143.328,0.292264817352917,0.7085278
20409229642.2903,0.292294092783559,0.7084122
20419973141.2526,0.292313213336871,0.7082934
20430716640.2149,0.292322063807642,0.7081718
20441460139.1771,0.292320550456943,0.7080472
20452203638.1394,0.29230860084779,0.7079194
20462947137.1017,0.292286163633726,0.7077887
20473690636.064,0.292253208301216,0.707655
20484434135.0262,0.292209724866966,0.7075183
20495177633.9885,0.292155723531435,0.7073786
20505921132.9508,0.29209123428997,0.7072359
20516664631.9131,0.292016306503151,0.7070903
20527408130.8754,0.291931008428093,0.7069416
20538151629.8376,0.29183542671256,0.70679
20548895128.7999,0.291729665853903,0.7066355
20559638627.7622,0.291613847624935,0.7064779
20570382126.7245,0.291488110468953,0.7063176
20581125625.6867,0.291352608866217,0.7061541
20591869124.649,0.291207512674265,0.7059879
20602612623.6113,0.291053006444522,0.7058187
20613356122.5736,0.290889288717683,0.7056466
20624099621.5358,0.290716571300408,0.7054715
20634843120.4981,0.290535078525893,0.7052937
20645586619.4604,0.290345046500858,0.7051131
20656330118.4227,0.290146722341541,0.7049294
20667073617.3849,0.289940363401206,0.704743
20677817116.3472,0.2897262364917,0.7045538
20688560615.3095,0.289504617101522,0.7043616
20699304114.2718,0.289275788612813,0.7041667
20710047613.234,0.28904004151963,0.703969
20720791112.1963,0.288797672649772,0.7037685
20731534611.1586,0.288548984392367,0.7035652
20742278110.1209,0.288294283933304,0.7033593
20753021609.0831,0.288033882500538,0.7031506
20763765108.0454,0.287768094621155,0.7029393
20774508607.0077,0.287497237391983,0.7027251
20785252105.97,0.287221629765445,0.7025084
20795995604.9322,0.286941591852182,0.7022888
20806739103.8945,0.286657444241897,0.7020667
20817482602.8568,0.286369507343726,0.7018419
20828226101.8191,0.286078100747321,0.7016146
20838969600.7813,0.285783542605699,0.7013845
20849713099.7436,0.285486149040804,0.701152
20860456598.7059,0.285186233572573,0.7009167
20871200097.6682,0.284884106572227,0.7006791
20881943596.6304,0.284580074740318,0.7004388
20892687095.5927,0.284274440610033,0.7001962
20903430594.555,0.283967502076054,0.699951
20914174093.5173,0.283659551949248,0.6997033
20924917592.4795,0.28335087753729,0.6994531
20935661091.4418,0.283041760251282,0.6992005
20946404590.4041,0.282732475238283,0.6989454
20957148089.3664,0.28242329103963,0.6986882
20967891588.3287,0.282114469274802,0.6984283
20978635087.2909,0.281806264350547,0.6981662
20989378586.2532,0.281498923194885,0.6979019
21000122085.2155,0.281192685015559,0.6976351
21010865584.1778,0.280887781082444,0.697366
21021609083.14,0.280584434533366,0.6970947
21032352582.1023,0.280282860202747,0.6968213
21043096081.0646,0.279983264472444,0.6965454
21053839580.0269,0.279685845144123,0.6962677
21064583078.9891,0.279390791332468,0.6959875
21075326577.9514,0.279098283378529,0.6957053
21086070076.9137,0.278808492782446,0.695421
21096813575.876,0.278521582154833,0.6951345
21107557074.8382,0.278237705186042,0.694846
21118300573.8005,0.277957006632561,0.6945553
21129044072.7628,0.27767962231977,0.6942627
21139787571.7251,0.27740567916031,0.6939681
21150531070.6873,0.277135295187295,0.6936715
21161274569.6496,0.276868579601634,0.6933728
21172018068.6119,0.276605632832727,0.6930725
21182761567.5742,0.276346546611809,0.6927701
21193505066.5364,0.276091404057249,0.6924658
21204248565.4987,0.275840279771112,0.6921598
