Freq_Hz,T_meas_gate_abs,T_fit_abs
19098522768.8927,0.444045458307028,0.9638337
19109266267.855,0.443142468493517,0.9638935
19120009766.8172,0.442211257936902,0.963953
19130753265.7795,0.44125345180553,0.9640119
19141496764.7418,0.440270719102923,0.9640707
19152240263.7041,0.439264767189705,0.9641291
19162983762.6663,0.438237336217982,0.9641871
19173727261.6286,0.437190193515036,0.964245
19184470760.5909,0.436125127952445,0.9643022
19195214259.5532,0.435043944335561,0.9643593
19205957758.5154,0.433948457846837,0.9644159
19216701257.4777,0.432840488574658,0.9644723
19227444756.44,0.431721856157368,0.9645283
19238188255.4023,0.430594374569867,0.9645839
19248931754.3645,0.42945984707777,0.9646391
19259675253.3268,0.428320061381546,0.9646941
19270418752.2891,0.427176784970401,0.9647486
19281162251.2514,0.426031760702982,0.964803
19291905750.2136,0.424886702629265,0.9648568
19302649249.1759,0.423743292065287,0.9649102
19313392748.1382,0.422603173929789,0.9649634
19324136247.1005,0.421467953349239,0.9650162
19334879746.0628,0.420339192535327,0.9650687
19345623245.025,0.419218407936679,0.9651207
19356366743.9873,0.418107067664413,0.9651725
19367110242.9496,0.417006589189158,0.9652238
19377853741.9119,0.415918337305365,0.9652749
19388597240.8741,0.414843622357098,0.9653255
19399340739.8364,0.413783698718058,0.9653756
19410084238.7987,0.412739763517323,0.9654256
19420827737.761,0.411712955601256,0.9654751
19431571236.7232,0.410704354721084,0.9655243
19442314735.6855,0.409714980934992,0.9655731
19453058234.6478,0.408745794212979,0.9656215
19463801733.6101,0.407797694232363,0.9656696
19474545232.5723,0.406871520351551,0.9657174
19485288731.5346,0.405968051749573,0.9657648
19496032230.4969,0.405088007718922,0.9658117
19506775729.4592,0.404232048099295,0.9658583
19517519228.4214,0.403400773840126,0.9659045
19528262727.3837,0.402594727680031,0.9659504
19539006226.346,0.401814394931715,0.9659958
19549749725.3083,0.401060204361301,0.9660408
19560493224.2705,0.400332529151555,0.9660858
19571236723.2328,0.399631687938994,0.9661301
19581980222.1951,0.398957945915453,0.9661741
19592723721.1574,0.398311515985267,0.9662177
19603467220.1196,0.397692559969834,0.966261
19614210719.0819,0.397101189851939,0.9663039
19624954218.0442,0.396537469052841,0.9663464
19635697717.0065,0.396001413735734,0.9663884
19646441215.9687,0.395492994129802,0.9664302
19657184714.931,0.395012135869671,0.9664715
19667928213.8933,0.394558721345636,0.9665125
19678671712.8556,0.39413259106059,0.966553
19689415211.8178,0.393733544990121,0.9665933
19700158710.7801,0.393361343942712,0.9666331
19710902209.7424,0.393015710917491,0.9666726
19721645708.7047,0.392696332457385,0.9667117
19732389207.667,0.392402859995966,0.9667503
19743132706.6292,0.392134911196635,0.9667887
19753876205.5915,0.391892071283177,0.9668264
19764619704.5538,0.391673894360978,0.966864
19775363203.5161,0.391479904728535,0.9669012
19786106702.4783,0.391309598179113,0.966938
19796850201.4406,0.391162443292621,0.9669744
19807593700.4029,0.391037882718001,0.9670102
19818337199.3652,0.39093533444655,0.9670458
19829080698.3274,0.390854193076742,0.967081
19839824197.2897,0.390793831071249,0.9671158
19850567696.252,0.390753600006889,0.9671503
19861311195.2143,0.390732831818333,0.9671842
19872054694.1765,0.390730840036396,0.9672179
19882798193.1388,0.390746921021781,0.9672512
19893541692.1011,0.39078035519509,0.967284
19904285191.0634,0.390830408263924,0.9673165
19915028690.0256,0.390896332447818,0.9673484
19925772188.9879,0.390977367701682,0.9673802
19936515687.9502,0.391072742938369,0.9674115
19947259186.9125,0.391181677250846,0.9674423
19958002685.8747,0.391303381134372,0.9674728
19968746184.837,0.391437057708933,0.9675028
19979489683.7993,0.391581903942079,0.9675325
19990233182.7616,0.391737111872139,0.9675618
20000976681.7238,0.391901869831659,0.9675907
20011720180.6861,0.392075363670754,0.9676191
20022463679.6484,0.392256777979886,0.9676473
20033207178.6107,0.392445297311448,0.9676749
20043950677.5729,0.392640107399353,0.9677023
20054694176.5352,0.392840396375654,0.967729
20065437675.4975,0.393045355983099,0.9677556
20076181174.4598,0.393254182782312,0.9677816
20086924673.4221,0.393466079352187,0.9678074
20097668172.3843,0.393680255481902,0.9678327
20108411671.3466,0.393895929352825,0.9678575
20119155170.3089,0.394112328708461,0.967882
20129898669.2712,0.394328692010436,0.9679061
20140642168.2334,0.394544269578436,0.9679297
20151385667.1957,0.394758324711889,0.967953
20162129166.158,0.39497013479108,0.9679759
20172872665.1203,0.395178992355347,0.9679983
20183616164.0825,0.395384206155892,0.9680203
20194359663.0448,0.395585102180742,0.968042
20205103162.0071,0.395781024649304,0.9680632
20215846660.9694,0.39597133697401,0.9680839
20226590159.9316,0.396155422686462,0.9681045
20237333658.8939,0.396332686325584,0.9681243
20248077157.8562,0.39650255428526,0.9681441
20258820656.8185,0.396664475619013,0.9681632
20269564155.7807,0.396817922799342,0.968182
20280307654.743,0.396962392429416,0.9682003
20291051153.7053,0.397097405904915,0.9682183
20301794652.6676,0.397222510023953,0.968236
20312538151.6298,0.397337277543096,0.968253
20323281650.5921,0.39744130767771,0.9682697
20334025149.5544,0.397534226544949,0.968286
20344768648.5167,0.397615687547952,0.968302
20355512147.4789,0.397685371699937,0.9683176
20366255646.4412,0.397742987887128,0.9683325
20376999145.4035,0.397788273069619,0.9683474
20387742644.3658,0.397820992419535,0.9683616
20398486143.328,0.397840939396046,0.9683753
20409229642.2903,0.397847935757023,0.9683887
20419973141.2526,0.397841831507385,0.9684018
20430716640.2149,0.397822504784387,0.9684144
20441460139.1771,0.397789861680365,0.9684268
20452203638.1394,0.397743836003672,0.9684384
20462947137.1017,0.397684388978798,0.9684497
20473690636.064,0.39761150888687,0.9684607
20484434135.0262,0.397525210647965,0.9684712
20495177633.9885,0.397425535346913,0.9684814
20505921132.9508,0.397312549704421,0.968491
20516664631.9131,0.397186345495606,0.9685004
20527408130.8754,0.397047038918186,0.9685093
20538151629.8376,0.396894769912744,0.9685177
20548895128.7999,0.396729701437672,0.9685257
20559638627.7622,0.396552018701531,0.9685333
20570382126.7245,0.396361928355681,0.9685405
20581125625.6867,0.396159657650202,0.9685473
20591869124.649,0.395945453556153,0.9685538
20602612623.6113,0.395719581857375,0.9685596
20613356122.5736,0.395482326215037,0.9685651
20624099621.5358,0.395233987208239,0.9685704
20634843120.4981,0.39497488135395,0.9685749
20645586619.4604,0.394705340109626,0.9685794
20656330118.4227,0.394425708861811,0.9685832
20667073617.3849,0.394136345904027,0.9685866
20677817116.3472,0.393837621407192,0.9685898
20688560615.3095,0.393529916385789,0.9685923
20699304114.2718,0.393213621662911,0.9685946
20710047613.234,0.392889136837233,0.9685963
20720791112.1963,0.392556869254876,0.9685977
20731534611.1586,0.39221723298901,0.9685984
20742278110.1209,0.391870647829937,0.968599
20753021609.0831,0.39151753828825,0.9685991
20763765108.0454,0.391158332613557,0.9685988
20774508607.0077,0.39079346183109,0.9685981
20785252105.97,0.390423358798374,0.9685969
20795995604.9322,0.390048457284005,0.9685954
20806739103.8945,0.389669191070383,0.9685935
20817482602.8568,0.389285993082133,0.968591
20828226101.8191,0.388899294541751,0.9685881
20838969600.7813,0.388509524153861,0.9685848
20849713099.7436,0.388117107319327,0.9685811
20860456598.7059,0.387722465380269,0.9685771
20871200097.6682,0.387326014896909,0.9685726
20881943596.6304,0.386928166956991,0.9685677
20892687095.5927,0.386529326518402,0.9685624
20903430594.555,0.386129891785445,0.9685565
20914174093.5173,0.385730253619086,0.9685503
20924917592.4795,0.385330794981382,0.9685438
20935661091.4418,0.384931890414144,0.9685367
20946404590.4041,0.384533905551787,0.9685292
