Freq_Hz,T_meas_abs,T_fit_abs
18000000000,0.439261678369104,0.427314189100621
18013750000,0.446420151806044,0.427049476958782
18027500000,0.445551704124715,0.426784453225518
18041250000,0.445665826011701,0.42651914228141
18055000000,0.442955654897379,0.426253568808571
18068750000,0.445250794680416,0.425987757767728
18082500000,0.443537182581746,0.425721734375163
18096250000,0.443975525103248,0.425455524079557
18110000000,0.440313847164379,0.42518915253876
18123750000,0.436869007804561,0.424922645596491
18137500000,0.441302440863742,0.424656029259007
18151250000,0.440759390381724,0.42438932967176
18165000000,0.444359769617106,0.424122573096061
18178750000,0.439057178173323,0.423855785885769
18192500000,0.442073482261841,0.423588994464032
18206250000,0.441811973963891,0.423322225300103
18220000000,0.443937445267198,0.423055504886245
18233750000,0.446238458097738,0.422788859714741
18247500000,0.449869312548714,0.422522316255049
18261250000,0.442857963187119,0.422255900931098
18275000000,0.441578055838954,0.421989640098755
18288750000,0.442171725789563,0.421723560023488
18302500000,0.44239024299097,0.421457686858223
18316250000,0.445537836158418,0.421192046621442
18330000000,0.439259621584205,0.420926665175507
18343750000,0.44221060758112,0.420661568205255
18357500000,0.439107683450615,0.420396781196863
18371250000,0.443727272419624,0.420132329417004
18385000000,0.438199557271157,0.419868237892312
18398750000,0.443081230538631,0.419604531389168
18412500000,0.442281619975322,0.419341234393822
18426250000,0.439120876211898,0.419078371092865
18440000000,0.442563870242986,0.418815965354066
18453750000,0.438962816455571,0.418554040707586
18467500000,0.439017839185895,0.418292620327576
18481250000,0.441710995305016,0.418031727014188
18495000000,0.440944828383662,0.417771383175985
18508750000,0.440267977623925,0.417511610812788
18522500000,0.439894012717848,0.417252431498943
18536250000,0.437753345906444,0.416993866367049
18550000000,0.437889024761256,0.416735936092124
18563750000,0.437283782168273,0.416478660876248
18577500000,0.4415646321595,0.416222060433663
18591250000,0.44247143629942,0.415966153976368
18605000000,0.437481493216728,0.415710960200189
18618750000,0.434369016519369,0.415456497271349
18632500000,0.43682174500399,0.415202782813539
18646250000,0.440525111339273,0.414949833895492
18660000000,0.440163899791982,0.414697667019079
18673750000,0.435970561873971,0.414446298107909
18687500000,0.432125763756195,0.414195742496469
18701250000,0.435494458559481,0.413946014919776
18715000000,0.428301384700739,0.413697129503575
18728750000,0.435662396682456,0.413449099755057
18742500000,0.436833469804275,0.41320193855413
18756250000,0.434374107735789,0.412955658145222
18770000000,0.434313985900163,0.412710270129631
18783750000,0.429874065091895,0.412465785458421
18797500000,0.431883102684261,0.412222214425863
18811250000,0.430351688483429,0.411979566663428
18825000000,0.430698555452401,0.41173785113433
18838750000,0.429552729693501,0.411497076128613
18852500000,0.43008590351528,0.411257249258797
18866250000,0.430437780344365,0.411018377456068
18880000000,0.429428769220087,0.410780466967023
18893750000,0.432424336048235,0.41054352335096
18907500000,0.433475050009211,0.410307551477716
18921250000,0.433710394659641,0.410072555526057
18935000000,0.428956716311323,0.409838538982611
18948750000,0.428398055837945,0.409605504641338
18962500000,0.42865864061258,0.409373454603549
18976250000,0.43081978125301,0.409142390278462
