Freq_Hz,T_meas_abs,T_fit_abs
18000000000,0.0674195576752844,0.0447467872599164
18013750000,0.0714278802242135,0.0446723466421285
18027500000,0.0695284325330173,0.0445980508251473
18041250000,0.066679137987912,0.0445238994740164
18055000000,0.0718160525865551,0.04444989225451
18068750000,0.0682751461623804,0.0443760288331337
18082500000,0.0705970162905965,0.0443023088771251
18096250000,0.0686153559892814,0.0442287320544549
18110000000,0.0707294848892762,0.0441552980338278
18123750000,0.0687703720741312,0.0440820064846829
18137500000,0.0656869449180839,0.0440088570771953
18151250000,0.0595070576699111,0.0439358494822763
18165000000,0.0593074426056155,0.0438629833715743
18178750000,0.0560897107540578,0.0437902584174761
18192500000,0.0593428571539847,0.0437176742931075
18206250000,0.0640619370720382,0.0436452306723338
18220000000,0.0640050083152277,0.0435729272297612
18233750000,0.0598301170679446,0.0435007636407373
18247500000,0.060457530380419,0.0434287395813521
18261250000,0.0611753619843384,0.0433568547284387
18275000000,0.0620060047299434,0.0432851087595741
18288750000,0.0609718539917492,0.0432135013530801
18302500000,0.0621257408846216,0.0431420321880242
18316250000,0.0591642594861529,0.0430707009442203
18330000000,0.0651631388429978,0.0429995073022294
18343750000,0.0596729523772482,0.0429284509433603
18357500000,0.0640493552989855,0.0428575315496707
18371250000,0.0672062741313075,0.042786748803968
18385000000,0.0655055018386831,0.0427161023898095
18398750000,0.0640621926792011,0.0426455919915036
18412500000,0.0650902592717554,0.0425752172941104
18426250000,0.0663906810125282,0.0425049779834425
18440000000,0.0635035306034725,0.0424348737460656
18453750000,0.0615610019794967,0.0423649042692992
18467500000,0.0622400931530123,0.042295069241217
18481250000,0.058845509379489,0.0422253683506485
18495000000,0.0567150995643587,0.0421558012871783
18508750000,0.0577010938660893,0.0420863677411478
18522500000,0.0558652285626799,0.0420170674036554
18536250000,0.0554805055568015,0.0419478999665569
18550000000,0.0481651066684326,0.0418788651224665
18563750000,0.0522738967634942,0.0418099625647572
18577500000,0.058129898442756,0.0417411919875611
18591250000,0.0558353451245271,0.0416725530857702
18605000000,0.0564851875422381,0.041604045555037
18618750000,0.0606499322382798,0.0415356690917744
18632500000,0.0581672235527231,0.0414674233931571
18646250000,0.0579723193691879,0.0413993081571212
18660000000,0.063567955317318,0.0413313230823649
18673750000,0.0628205068020297,0.0412634678683493
18687500000,0.0666789810583648,0.0411957422152981
18701250000,0.0666167676233536,0.0411281458241983
18715000000,0.0634448181847171,0.0410606783968009
18728750000,0.0630888072711865,0.0409933396356206
18742500000,0.0596816734122709,0.0409261292439363
18756250000,0.0591109070596344,0.0408590469257916
18770000000,0.0578655869328257,0.0407920923859948
18783750000,0.0544406583598573,0.0407252653301192
18797500000,0.0536511185801727,0.0406585654645035
18811250000,0.0541839077049618,0.0405919924962514
18825000000,0.050498480227897,0.0405255461332327
18838750000,0.0531073416645297,0.0404592260840824
18852500000,0.0562606011903275,0.0403930320582015
18866250000,0.0558124234197044,0.0403269637657569
18880000000,0.0536699375736676,0.0402610209176815
18893750000,0.0609128948855838,0.040195203225674
18907500000,0.0569898774230269,0.0401295104021991
18921250000,0.0557473812879996,0.0400639421604875
18935000000,0.0549901501405118,0.0399984982145358
18948750000,0.0575596761449644,0.0399331782791066
18962500000,0.056092450115254,0.039867982069728
18976250000,0.0580364512258616,0.0398029093026938
18990000000,0.0606930386586818,0.0397379596950633
19003750000,0.0654892575351788,0.0396731329646612
19017500000,0.0638891491812149,0.0396084288300772
19031250000,0.0563024684941069,0.0395438470106658
19045000000,0.055865195922549,0.0394793872265461
19058750000,0.0548755219396951,0.0394150491986018
19072500000,0.0551483562830056,0.0393508326484804
19086250000,0.0544766341262868,0.0392867372985931
19100000000,0.0491543701557993,0.0392227628721144
19113750000,0.0507920795649596,0.0391589090929819
19127500000,0.0502189725928819,0.0390951756858954
19141250000,0.0469852280086535,0.0390315623763172
19155000000,0.0473165821983818,0.0389680688904708
19168750000,0.0485580274079728,0.038904694955341
19182500000,0.0501456014799304,0.038841440298673
19196250000,0.0508160876578121,0.0387783046489724
19210000000,0.0507162107826953,0.0387152877355037
19223750000,0.0547786408644878,0.0386523892882905
19237500000,0.0535177126963039,0.0385896090381146
19251250000,0.0567518121990848,0.0385269467165151
19265000000,0.0624841207995108,0.0384644020557884
19278750000,0.0596209224677828,0.0384019747889863
19292500000,0.0641770938303157,0.0383396646499165
19306250000,0.0619144236515392,0.0382774713731409
19320000000,0.0588708405806467,0.0382153946939756
19333750000,0.0608818100163596,0.0381534343484894
19347500000,0.0600515931405764,0.0380915900735029
19361250000,0.0580857799066402,0.0380298616065884
19375000000,0.0560047572026478,0.0379682486860682
19388750000,0.0531085761241687,0.037906751051014
19402500000,0.0529529396406242,0.0378453684412459
19416250000,0.0505683377860467,0.0377841005973313
19430000000,0.0463087970687909,0.0377229472605842
19443750000,0.0491415765265678,0.0376619081730637
19457500000,0.0498921065886205,0.0376009830775732
19471250000,0.047950692291393,0.0375401717176592
19485000000,0.0489936230229899,0.0374794738376105
19498750000,0.0510278778539214,0.0374188891824565
19512500000,0.0485124503865919,0.0373584174979664
19526250000,0.0509948877243365,0.0372980585306479
19540000000,0.0483571421539903,0.0372378120277458
19553750000,0.0465349522497328,0.0371776777372413
19567500000,0.0491629147792574,0.0371176554078501
19581250000,0.0550514811430362,0.0370577447890212
19595000000,0.052914142299505,0.0369979456309359
19608750000,0.0536254542552065,0.0369382576845063
19622500000,0.0572118861574104,0.0368786807013736
19636250000,0.0575914700161128,0.0368192144339073
19650000000,0.0576026225980974,0.0367598586352032
19663750000,0.0577873629051728,0.0367006130590823
19677500000,0.0610852369335858,0.0366414774600891
19691250000,0.05423976952591,0.0365824515934903
19705000000,0.0570918802818558,0.0365235352152733
19718750000,0.0539143905587484,0.0364647280821442
19732500000,0.0512899122089561,0.0364060299515271
19746250000,0.0499553826620712,0.0363474405815614
19760000000,0.0535181683617574,0.0362889597311011
19773750000,0.0525908737856912,0.0362305871597128
19787500000,0.0519845252372785,0.0361723226276741
19801250000,0.0465824396275533,0.0361141658959717
19815000000,0.0483871150579783,0.0360561167263001
19828750000,0.0482943776729218,0.0359981748810597
19842500000,0.0493498236331285,0.0359403401233546
19856250000,0.0474890144926126,0.0358826122169918
19870000000,0.0477949637140049,0.0358249909264784
19883750000,0.0533332973191932,0.0357674760170207
19897500000,0.0531553794609187,0.0357100672545214
19911250000,0.0469114789015667,0.0356527644055789
19925000000,0.0471883317290381,0.0355955672374842
19938750000,0.0518752249664338,0.0355384755182202
19952500000,0.048175899582985,0.0354814890164586
19966250000,0.0498309171792005,0.0354246075015592
19980000000,0.049144649231131,0.035367830743567
19993750000,0.0499503110021923,0.0353111585132107
20007500000,0.0492763230410633,0.0352545905819006
20021250000,0.0455482941683254,0.0351981267217265
20035000000,0.0457834803657546,0.0351417667054561
20048750000,0.0486652034308871,0.0350855103065325
20062500000,0.0467914566388313,0.0350293572990722
20076250000,0.0455897279229781,0.0349733074578633
20090000000,0.0475250587379807,0.0349173605583633
20103750000,0.0456394720489167,0.034861516376697
20117500000,0.0467926316869283,0.0348057746896543
20131250000,0.047287670973542,0.0347501352746881
20145000000,0.0497902552228896,0.0346945979099124
20158750000,0.0499595351758826,0.0346391623740997
20172500000,0.0481869800248837,0.0345838284466792
20186250000,0.0443188623389436,0.0345285959077346
20200000000,0.0481886661888515,0.0344734645380016
20213750000,0.0477111392510046,0.0344184341188659
20227500000,0.0526644647475478,0.0343635044323611
20241250000,0.0515149724709046,0.0343086752611661
20255000000,0.0549672567019318,0.0342539463886034
20268750000,0.0508238075039851,0.0341993175986359
20282500000,0.0479517972910299,0.034144788675866
20296250000,0.0428787615762511,0.034090359405532
20310000000,0.0417779864516895,0.0340360295735063
20323750000,0.0396397857834243,0.0339817989662936
20337500000,0.0432274755038103,0.0339276673710275
20351250000,0.0372322834809627,0.0338736345754693
20365000000,0.0392931542211601,0.0338197003680049
20378750000,0.0433228946238693,0.0337658645376427
20392500000,0.0427474706509365,0.0337121268740113
20406250000,0.0399637448758884,0.0336584871673569
20420000000,0.0399594992420503,0.0336049452085412
20433750000,0.0393618575925998,0.033551500789039
20447500000,0.0418063370027149,0.0334981537009355
20461250000,0.0425721609071923,0.0334449037369243
20475000000,0.044608258542699,0.0333917506903047
20488750000,0.0458245344041028,0.0333386943549792
