Freq_Hz,T_meas_gate_abs,T_fit_abs
19098522768.8927,1.08328101612254,0.9458172
19109266267.855,1.08079076955993,0.9462188
19120009766.8172,1.07828646416493,0.9466131
19130753265.7795,1.07577488206668,0.9469999
19141496764.7418,1.0732625747391,0.9473794
19152240263.7041,1.07075584666489,0.947751
19162983762.6663,1.0682607403212,0.9481151
19173727261.6286,1.06578302258818,0.9484712
19184470760.5909,1.06332817266616,0.9488192
19195214259.5532,1.06090137157089,0.9491593
19205957758.5154,1.05850749325955,0.9494913
19216701257.4777,1.05615109742325,0.9498152
19227444756.44,1.0538364239646,0.9501303
19238188255.4023,1.05156738916207,0.9504373
19248931754.3645,1.04934758350675,0.9507357
19259675253.3268,1.04718027118138,0.9510254
19270418752.2891,1.04506839113668,0.9513065
19281162251.2514,1.04301455970693,0.9515787
19291905750.2136,1.0410210746938,0.9518422
19302649249.1759,1.03908992083695,0.9520965
19313392748.1382,1.03722277658026,0.9523419
19324136247.1005,1.03542102203459,0.952578
19334879746.0628,1.03368574803162,0.9528052
19345623245.025,1.03201776615872,0.9530229
19356366743.9873,1.03041761966102,0.9532314
19367110242.9496,1.02888559509584,0.9534304
19377853741.9119,1.02742173462364,0.9536201
19388597240.8741,1.02602584882104,0.9538002
19399340739.8364,1.02469752990367,0.9539707
19410084238.7987,1.02343616524982,0.9541315
19420827737.761,1.02224095112034,0.9542828
19431571236.7232,1.02111090647543,0.9544242
19442314735.6855,1.0200448867946,0.9545559
19453058234.6478,1.01904159781307,0.9546775
19463801733.6101,1.01809960909409,0.9547896
19474545232.5723,1.01721736736462,0.9548916
19485288731.5346,1.01639320954844,0.9549837
19496032230.4969,1.01562537543895,0.9550658
19506775729.4592,1.01491201996077,0.9551378
19517519228.4214,1.01425122497696,0.9551997
19528262727.3837,1.01364101060551,0.9552516
19539006226.346,1.01307934601585,0.9552933
19549749725.3083,1.01256415968232,0.955325
19560493224.2705,1.01209334907795,0.9553465
19571236723.2328,1.01166478979746,0.955358
19581980222.1951,1.01127634410375,0.9553592
19592723721.1574,1.01092586889681,0.9553501
19603467220.1196,1.01061122310862,0.9553311
19614210719.0819,1.0103302745313,0.9553016
19624954218.0442,1.01008090608925,0.955262
19635697717.0065,1.00986102156914,0.9552122
19646441215.9687,1.00966855082416,0.9551525
19657184714.931,1.00950145447104,0.9550822
19667928213.8933,1.00935772810028,0.9550021
19678671712.8556,1.00923540602138,0.9549116
19689415211.8178,1.00913256456616,0.9548111
19700158710.7801,1.00904732497379,0.9547004
19710902209.7424,1.00897785588204,0.9545797
19721645708.7047,1.00892237544924,0.9544489
19732389207.667,1.00887915313184,0.9543082
19743132706.6292,1.00884651114202,0.9541572
19753876205.5915,1.00882282560977,0.9539964
19764619704.5538,1.00880652747329,0.9538258
19775363203.5161,1.00879610312104,0.9536451
19786106702.4783,1.00879009480807,0.9534546
19796850201.4406,1.00878710086842,0.9532542
19807593700.4029,1.00878577574482,0.9530441
19818337199.3652,1.00878482985552,0.9528244
19829080698.3274,1.00878302931766,0.9525951
19839824197.2897,1.00877919554517,0.952356
19850567696.252,1.00877220473841,0.9521074
19861311195.2143,1.00876098728166,0.9518493
19872054694.1765,1.00874452706341,0.9515818
19882798193.1388,1.00872186073353,0.951305
19893541692.1011,1.00869207691023,0.9510191
19904285191.0634,1.00865431534856,0.9507237
19915028690.0256,1.00860776608144,0.9504191
19925772188.9879,1.00855166854293,0.9501057
19936515687.9502,1.0084853106825,0.9497832
19947259186.9125,1.00840802807811,0.9494518
19958002685.8747,1.00831920305493,0.9491115
19968746184.837,1.00821826381556,0.9487625
19979489683.7993,1.00810468358662,0.9484048
19990233182.7616,1.00797797978582,0.9480386
20000976681.7238,1.00783771321266,0.9476639
20011720180.6861,1.0076834872651,0.9472808
20022463679.6484,1.00751494718367,0.9468893
20033207178.6107,1.00733177932389,0.94649
20043950677.5729,1.00713371045698,0.9460824
20054694176.5352,1.00692050709813,0.9456666
20065437675.4975,1.00669197486119,0.9452432
