Freq_Hz,T_meas_gate_abs,T_fit_abs
19098522768.8927,0.25004195770767,0.7980235
19109266267.855,0.249626434667866,0.798072
19120009766.8172,0.249200497840073,0.7981197
19130753265.7795,0.248764903100195,0.7981663
19141496764.7418,0.248320418259901,0.7982123
19152240263.7041,0.24786782066645,0.7982574
19162983762.6663,0.24740789478683,0.7983015
19173727261.6286,0.246941429792813,0.7983447
19184470760.5909,0.246469217163001,0.7983871
19195214259.5532,0.245992048317168,0.7984287
19205957758.5154,0.245510712297376,0.798469
19216701257.4777,0.245025993509322,0.7985087
19227444756.44,0.244538669536311,0.7985474
19238188255.4023,0.244049509037038,0.7985852
19248931754.3645,0.243559269737163,0.7986221
19259675253.3268,0.243068696523342,0.798658
19270418752.2891,0.242578519647106,0.7986931
19281162251.2514,0.242089453044652,0.798727
19291905750.2136,0.241602192777329,0.7987601
19302649249.1759,0.24111741559632,0.7987923
19313392748.1382,0.240635777633827,0.7988234
19324136247.1005,0.240157913221884,0.7988536
19334879746.0628,0.239684433838828,0.7988827
19345623245.025,0.239215927182462,0.7989109
19356366743.9873,0.238752956367981,0.7989382
19367110242.9496,0.238296059247902,0.7989645
19377853741.9119,0.237845747850496,0.7989898
19388597240.8741,0.237402507932529,0.799014
19399340739.8364,0.236966798641598,0.7990372
19410084238.7987,0.236539052282821,0.7990594
19420827737.761,0.23611967418432,0.7990806
19431571236.7232,0.235709042655586,0.7991008
19442314735.6855,0.235307509032623,0.7991199
19453058234.6478,0.234915397803651,0.7991381
19463801733.6101,0.234533006809049,0.7991552
19474545232.5723,0.234160607509242,0.7991711
19485288731.5346,0.2337984453143,0.7991862
19496032230.4969,0.233446739969113,0.7992
19506775729.4592,0.233105685988188,0.799213
19517519228.4214,0.2327754531343,0.7992247
19528262727.3837,0.232456186935475,0.7992355
19539006226.346,0.232148009235033,0.7992452
19549749725.3083,0.231851018769736,0.7992537
19560493224.2705,0.231565291771344,0.7992613
19571236723.2328,0.231290882587243,0.7992676
19581980222.1951,0.231027824316111,0.799273
19592723721.1574,0.230776129454916,0.7992773
19603467220.1196,0.230535790553887,0.7992803
19614210719.0819,0.230306780876399,0.7992825
19624954218.0442,0.230089055061056,0.7992833
19635697717.0065,0.229882549783558,0.7992833
19646441215.9687,0.229687184416238,0.7992818
19657184714.931,0.229502861683448,0.7992795
19667928213.8933,0.229329468311247,0.7992759
19678671712.8556,0.229166875670096,0.7992713
19689415211.8178,0.229014940409535,0.7992656
19700158710.7801,0.228873505083995,0.7992587
19710902209.7424,0.228742398769173,0.7992507
19721645708.7047,0.228621437668528,0.7992415
19732389207.667,0.228510425709674,0.7992312
19743132706.6292,0.228409155130593,0.7992196
19753876205.5915,0.228317407055713,0.7992071
19764619704.5538,0.228234952062051,0.7991932
19775363203.5161,0.228161550735705,0.7991784
19786106702.4783,0.228096954219081,0.7991622
