Freq_Hz,T_meas_gate_abs,T_fit_abs
19098522768.8927,0.444568767320765,0.9627664
19109266267.855,0.443673257796722,0.9628229
19120009766.8172,0.442749042770332,0.9628788
19130753265.7795,0.441797738123478,0.9629346
19141496764.7418,0.440821004384075,0.9629902
19152240263.7041,0.439820541256191,0.9630452
19162983762.6663,0.438798082059769,0.9630998
19173727261.6286,0.437755388116885,0.9631543
19184470760.5909,0.436694243120727,0.9632083
19195214259.5532,0.435616447522327,0.9632622
19205957758.5154,0.434523812968647,0.9633154
19216701257.4777,0.433418156823829,0.9633686
19227444756.44,0.4323012968034,0.9634213
19238188255.4023,0.431175045749007,0.9634736
19248931754.3645,0.430041206568816,0.9635256
19259675253.3268,0.428901567366147,0.9635773
19270418752.2891,0.427757896776319,0.9636285
19281162251.2514,0.426611939528925,0.9636795
19291905750.2136,0.425465412250092,0.9637302
19302649249.1759,0.424319999516564,0.9637804
19313392748.1382,0.423177350170823,0.9638302
19324136247.1005,0.422039073903932,0.9638799
19334879746.0628,0.420906738110291,0.9639291
19345623245.025,0.419781865016266,0.9639779
19356366743.9873,0.418665929082416,0.9640265
19367110242.9496,0.417560354677106,0.9640747
19377853741.9119,0.416466514017452,0.9641224
19388597240.8741,0.415385725371891,0.9641699
19399340739.8364,0.414319251517263,0.964217
19410084238.7987,0.413268298441969,0.9642637
19420827737.761,0.412234014285732,0.9643101
19431571236.7232,0.41121748850557,0.9643561
19442314735.6855,0.410219751256851,0.9644017
19453058234.6478,0.409241772977772,0.964447
19463801733.6101,0.408284464165157,0.964492
19474545232.5723,0.40734867532924,0.9645366
19485288731.5346,0.406435197114966,0.9645807
19496032230.4969,0.405544760577337,0.9646246
19506775729.4592,0.40467803759845,0.9646682
19517519228.4214,0.403835641434068,0.9647112
19528262727.3837,0.40301812737787,0.964754
19539006226.346,0.402225993531905,0.9647965
19549749725.3083,0.401459681672179,0.9648384
19560493224.2705,0.40071957819884,0.9648801
19571236723.2328,0.40000601516089,0.9649214
19581980222.1951,0.399319271345993,0.9649624
19592723721.1574,0.398659573426465,0.965003
19603467220.1196,0.398027097153186,0.9650429
19614210719.0819,0.397421968589755,0.9650829
19624954218.0442,0.396844265379853,0.9651224
19635697717.0065,0.396294018041354,0.9651616
19646441215.9687,0.395771211281365,0.9652002
19657184714.931,0.395275785326934,0.9652385
19667928213.8933,0.394807637266759,0.9652765
19678671712.8556,0.394366622399758,0.965314
19689415211.8178,0.393952555586917,0.9653513
19700158710.7801,0.393565212603294,0.9653882
19710902209.7424,0.39320433148758,0.9654246
19721645708.7047,0.392869613887001,0.9654608
19732389207.667,0.392560726395825,0.9654964
19743132706.6292,0.392277301886051,0.9655317
19753876205.5915,0.392018940829271,0.9655668
19764619704.5538,0.391785212608969,0.9656013
19775363203.5161,0.391575656822824,0.9656355
19786106702.4783,0.391389784574857,0.9656693
19796850201.4406,0.391227079757449,0.9657027
19807593700.4029,0.391087000323494,0.9657358
19818337199.3652,0.390968979549086,0.9657685
19829080698.3274,0.390872427287301,0.9658009
19839824197.2897,0.390796731213713,0.9658328
19850567696.252,0.390741258064411,0.9658643
19861311195.2143,0.390705354867306,0.9658954
19872054694.1765,0.390688350167564,0.9659263
19882798193.1388,0.390689555248026,0.9659566
19893541692.1011,0.390708265345445,0.9659866
19904285191.0634,0.390743760863364,0.9660162
19915028690.0256,0.390795308582393,0.9660455
19925772188.9879,0.390862162868586,0.9660742
19936515687.9502,0.390943566880546,0.9661027
19947259186.9125,0.391038753775774,0.9661308
19958002685.8747,0.391146947916686,0.9661585
19968746184.837,0.391267366076603,0.9661857
19979489683.7993,0.391399218645862,0.9662127
19990233182.7616,0.391541710838103,0.9662391
20000976681.7238,0.3916940438966,0.9662652
